ImageFile,PredictedEmotion
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP09_04 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP09_09 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP13_11 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP16_01 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP18_44 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP18_47 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP18_49 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP18_50 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\0\sub26_EP18_51 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\1\sub26_EP03_10 .png,1
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub26\u_test\1\sub26_EP13_02 .png,0
