ImageFile,PredictedEmotion
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\0\sub19_EP13_01 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\0\sub19_EP16_01 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\0\sub19_EP16_02 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\1\sub19_EP01_01f .png,1
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\1\sub19_EP01_02f .png,1
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\1\sub19_EP08_02 .png,0
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\2\sub19_EP02_01 .png,2
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\2\sub19_EP06_01f .png,2
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\2\sub19_EP11_04f .png,2
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\2\sub19_EP19_02 .png,2
C:\Users\alyss\OneDrive\Documents\GitHub\Final-Year-Project\STSTNet-master\casme2\sub19\u_test\2\sub19_EP19_03 .png,2
